paperId,title,referenceCount,citationCount,publicationDate,venue,year,fieldsOfStudy
01e77cd46ab75bab8f4b176455f0daa592e5f979,Please Scroll down for Article Visual Cognition Modelling Search for People in 900 Scenes: a Combined Source Model of Eye Guidance,89.0,318.0,,,,
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,GazeSearch: Radiology Findings Search Benchmark,82.0,0.0,2024-11-08,,2024.0,['Computer Science']
40ede3e3477853d688951b9ac685770d4d506788,Third-Person View Attention Prediction in Natural Scenarios With Weak Information Dependency and Human-Scene Interaction Mechanism,83.0,2.0,2024-08-01,IEEE transactions on circuits and systems for video technology (Print),2024.0,['Computer Science']
d1c016ad763d3fbbebf79981af54d459c48f0a74,Learning from Observer Gaze: Zero-Shot Attention Prediction Oriented by Human-Object Interaction Recognition,71.0,0.0,2024-05-16,Computer Vision and Pattern Recognition,2024.0,['Computer Science']
0252e2e89c55f45e431df15d63878f68a0f9377e,Can natural scenes cue attention to multiple locations? Evidence from eye-movements in contextual cueing,60.0,0.0,2024-03-13,Frontiers in Cognition,2024.0,
acc0377d8ccbc35c8a3c2ca63cd42909f954561c,Learning Saliency From Fixations,67.0,1.0,2023-11-23,IEEE Workshop/Winter Conference on Applications of Computer Vision,2023.0,['Computer Science']
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,Human-like scene interpretation by a guided counterstream processing,50.0,1.0,2023-09-28,Proceedings of the National Academy of Sciences of the United States of America,2023.0,['Medicine']
3891f205f9733fd64f085bfb096e3d557e5578aa,Eye tracking for affective computing in virtual reality healthcare applications,61.0,0.0,2023-09-10,2023 11th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),2023.0,['Computer Science']
f3b2e58eeb8db80b414d4a2a0152d3ad5b8b33c8,Analyzing spatial visual characteristics in Japanese stroll gardens based on eye-tracking technology: case study of Saihō-ji Garden,50.0,4.0,2023-06-28,Journal of Asian Architecture and Building Engineering,2023.0,
b31b25f59d5a191167eb4755383797103daaefac,Visual search for reach targets in actionable space is influenced by movement costs imposed by obstacles,62.0,3.0,2023-06-01,Journal of Vision,2023.0,['Medicine']
01f4154441502641c4bd63eb029130f6e6f28c09,An active foveated gaze prediction algorithm based on a Bayesian ideal observer,45.0,2.0,2023-05-01,Pattern Recognition,2023.0,['Computer Science']
9e5ce5d20ec86296f1c9e69d25bc953afa7daa9d,Verbal instructions as selection bias that modulates visual selection,92.0,0.0,2023-03-16,Visual Cognition,2023.0,
5f2c0fffeb54adc8312d87bdaa4470220e72d83b,"Assessing the allocation of attention during visual search using digit-tracking, a calibration-free alternative to eye tracking",51.0,3.0,2023-02-09,Scientific Reports,2023.0,['Medicine']
77c98b7c7762d34e14abe79dec8f27833c1822ee,A geospatial image based eye movement dataset for cartography and GIS,90.0,8.0,2023-01-02,Cartography and Geographic Information Science,2023.0,
02325954f6d81ee19f63307c90f19eb41f458606,Predicting Visual Attention and Distraction During Visual Search Using Convolutional Neural Networks,48.0,0.0,2022-10-27,arXiv.org,2022.0,"['Computer Science', 'Engineering']"
4166174eda05f86ae4b47e026ed5a1eff454b315,Insights into wayfinding: urban design exploration through the use of algorithmic eye-tracking software,54.0,9.0,2022-09-30,Journal of Urban Design,2022.0,
61092e8b51e60b9accb6980a383a2014baf641e8,Incorporating the properties of peripheral vision into theories of visual search,171.0,7.0,2022-09-01,Nature Reviews Psychology,2022.0,
224537e971d63c5ab906342e1ac93c5de974de39,COLET: A dataset for COgnitive workLoad estimation based on eye-tracking,56.0,17.0,2022-07-01,Comput. Methods Programs Biomed.,2022.0,"['Computer Science', 'Medicine']"
10aa7a656ba1daf64e2ebc74cb6cbb3658cec341,Characterizing Target-absent Human Attention,49.0,10.0,2022-06-01,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2022.0,['Computer Science']
